passenger_id,first_name,last_name,full_name,pnr_booking_ref,flight_id,seat_number,ticket_class,checkin_status,special_assistance_flag,nationality,contact_email
PAX00001,Fatima,Williams,Fatima Williams,WKGA64,FL0217,27A,Economy,checked-in,True,German,fatima.williams170@example.com
PAX00002,Diego,Larsen,Diego Larsen,74L4FK,FL0217,7A,Economy,checked-in,True,American,diego.larsen88@example.com
PAX00003,Robert,Johnson,Robert Johnson,ES4ZUC,FL0217,26A,Business,not-checked-in,False,Australian,robert.johnson937@example.com
PAX00004,Ahmed,Ali,Ahmed Ali,YMFQCF,FL0187,14E,Economy,checked-in,False,Singaporean,ahmed.ali841@example.com
PAX00005,Hana,Wang,Hana Wang,8XW56C,FL0187,30E,Economy,checked-in,False,Australian,hana.wang908@example.com
PAX00006,John,Kumar,John Kumar,9UHKLT,FL0187,10D,Economy,not-checked-in,False,Japanese,john.kumar693@example.com
PAX00007,Ethan,Andersson,Ethan Andersson,TXVC2Q,FL0187,2C,Economy,checked-in,False,South Korean,ethan.andersson742@example.com
PAX00008,Daniel,Martinez,Daniel Martinez,54QTB2,FL0187,32C,Economy,not-checked-in,True,Italian,daniel.martinez491@example.com
PAX00009,Yusuf,Costa,Yusuf Costa,WV9ZDC,FL0187,14D,Economy,boarding-pass-issued,False,Canadian,yusuf.costa468@example.com
PAX00010,Yusuf,Dubois,Yusuf Dubois,SQUFPG,FL0187,5A,Economy,checked-in,False,Canadian,yusuf.dubois732@example.com
PAX00011,Mary,Rodriguez,Mary Rodriguez,U9ED88,FL0234,6C,Economy,not-checked-in,False,Australian,mary.rodriguez290@example.com
PAX00012,Daniel,Miller,Daniel Miller,HH68SF,FL0234,25C,First,checked-in,False,South Korean,daniel.miller350@example.com
PAX00013,Arjun,Larsen,Arjun Larsen,JWU29A,FL0234,33A,Economy,boarding-pass-issued,True,Brazilian,arjun.larsen322@example.com
PAX00014,David,Sato,David Sato,SX4HK8,FL0234,15B,First,boarding-pass-issued,False,Spanish,david.sato959@example.com
